Name,Radius,Mass,Distance,Gravity
SDSS J000013.54+255418.6Â [de],70777296.90899992,9.1136425536e+28,46.1,1213.4723373937989
2MASS J00040288-6410358,116532317.13299993,3.6074835108e+28,192.0,177.18927226995092
2MASS J00242463-0158201,77926518.81899999,1.49995367028e+29,37.7,1647.5292272061336
2MASS J00274197+0503417,102948795.50399992,5.8858941492000005e+28,236.0,370.42112122103975
2MASSW J0030300-145033,70062374.71799994,1.02528478728e+29,87.2,1393.1588584075591
2MASS J00332386-1521309Â [de],102233873.31299992,5.5061590428e+28,131.0,351.38640539176913
2MASS J00345157+0523050,67202685.95399994,7.974437234399999e+28,31.0,1177.7486511370575
2MASS 0036+1821,67202685.95399994,7.974437234399999e+28,28.6,1177.7486511370575
2MASSW J0045214+163445,115817394.942,4.3669537236e+28,57.0,217.14850276279157
WISEP J004701.06+680352.1Â [fr],92939884.82999994,2.2784106384e+28,40.0,175.93553814787887
2MASS J00501994-3322402Â [de],67202685.95399994,7.594702128e+28,34.0,1121.6653820352933
2MASS J00584253-0651239Â [de],102233873.31299992,5.5061590428e+28,96.0,351.38640539176913
2MASSI J0103320+193536,70062374.71799994,9.8731127664e+28,70.0,1341.560382170242
SDSSp J010752.33+004156.1Â [de],70062374.71799994,9.8731127664e+28,51.0,1341.560382170242
2MASSI J0117474-340325Â [de],115817394.942,3.797351064e+28,163.0,188.82478501112314
2MASS J01415823-4633574Â [de],115102472.751,3.797351064e+28,130.0,191.17771914015336
SDSS J015141.69+124429.6,69347452.52699994,8.9237750004e+28,70.0,1237.6943879163591
SDSS J020742.48+000056.2Â [de],69347452.52699994,8.9237750004e+28,111.0,1237.6943879163591
2MASS J02103857-3015313,109383095.223,2.848013298e+28,101.0,158.7696289193873
2MASS J02340093-6442068,115817394.942,3.797351064e+28,155.0,188.82478501112314
2MASS J02411151-0326587Â [de],100804028.93099992,5.1264239364e+28,152.0,336.49961461058786
2MASS J02431371âˆ’2453298,70777296.90899992,6.265629255599999e+28,35.0,834.2622319582366
LP 771-21,77211596.628,1.48096691496e+29,53.0,1656.937488472605
Teegarden's star,90795118.25699992,1.5189404256e+29,12.578,1228.9708370839912
2MASS J02535980+3206373,135835216.28999993,1.2341390958e+29,184.0,446.1338611621535
WISE J0254+0223,135835216.28999993,1.2341390958e+29,24.0,446.1338611621535
DEN 0255-4700,69347452.52699994,1.5189404256e+29,16.2,2106.713851772526
2MASS J03185403-3421292Â [de],69347452.52699994,9.3035101068e+28,45.0,1290.3622342106723
2MASS J03205965+1854233,82216051.96499993,1.67083446816e+29,47.0,1648.7166498646857
2MASS J03231002-4631237,118677083.706,4.3669537236e+28,192.0,206.80959887163243
SDSS J032553.17+042540.1,67917608.14499994,8.544039894e+28,59.0,1235.4476155259645
2MASS J03264225-2102057Â [de],92939884.82999994,3.4176159576e+28,80.0,263.90330722181835
2MASS J03284265+2302051Â [de],70062374.71799994,1.02528478728e+29,98.0,1393.1588584075591
2MASS J03341218-4953322,74351907.864,1.3860331383599998e+29,27.0,1672.3039433327008
LP 944-20,102233873.31299992,1.3860331383599998e+29,20.9,884.5243997792808
2MASP J0345432+254023,75066830.055,1.40501989368e+29,88.0,1663.0762207689872
Teide 1,270240588.1979999,1.0442715426e+29,380.0,95.37578426582247
2MASS J03510004-0052452,90795118.25699992,1.93664904264e+29,48.0,1566.9378172820889
2MASS J03552337+1133437,94369729.212,3.797351064e+28,29.8,284.407579076671
2MASS J04151954âˆ’0935066,67917608.14499994,5.696026596e+28,18.6,823.6317436839763
2MASS J04285096-2253227Â [de],77926518.81899999,1.5189404256e+29,85.0,1668.3840275505147
2MASS J04351612-1606574,90080196.06599993,1.898675532e+29,34.0,1560.694651622551
2MASS J04362788-4114465,140839671.6269999,7.4048345748e+28,142.0,248.99532151748943
2MASS J04390101-2353083Â [de],69347452.52699994,9.1136425536e+28,29.5,1264.0283110635155
2MASS J04433764+0002040,127256149.99799992,4.1770861704e+28,82.0,172.04486250521128
2MASS J04455387-3048204Â [de],71492219.1,1.21515234048e+29,42.0,1585.765650506213
2MASS J04510093-3402150Â [de],74351907.864,1.36704638304e+29,69.0,1649.3956701363627
2MASS J05002100+0330501Â [de],71492219.1,1.21515234048e+29,44.0,1585.765650506213
2MASS J05012406-0010452Â [de],98659262.35799992,3.987218617199999e+28,64.0,273.2248236044696
2MASS J05160945-0445499Â [de],69347452.52699994,8.9237750004e+28,73.0,1237.6943879163591
2MASS J0523âˆ’1403,72207141.291,1.29109936176e+29,40.0,1651.6772901312145
SDSS J053951.99-005902.0,72207141.291,1.1581920745199998e+29,41.62,1481.6516867353537
LSR 0602+3910Â [de],100804028.93099992,5.3162914896e+28,34.6,348.96256329986886
2MASS J06085283-2753583,107953250.841,7.2149670216e+28,102.0,412.9416933415482
2MASS J06244595-4521548Â [de],70777296.90899992,1.06325829792e+29,39.0,1415.717726959432
2MASS J06411840-4322329Â [de],72207141.291,1.27211260644e+29,65.0,1627.3879182175199
DENIS-P J0652197-253450Â [de],75066830.055,1.4240066489999998e+29,51.0,1685.550223752352
2MASS J07075327-4900503,73636985.673,1.36704638304e+29,60.0,1681.5782418884814
UGPS J072227.51-054031.2,70062374.71799994,4.9365563832e+28,13.4,670.780191085121
2MASSI J0727182+171001Â [de],67202685.95399994,7.784569681199999e+28,29.6,1149.7070165861753
2MASS J07290002-3954043Â [de],67202685.95399994,7.0250994684e+28,25.8,1037.5404783826461
SDSS J074201.41+205520.5Â [de],67202685.95399994,8.1643047876e+28,49.0,1205.7902856879402
DENIS-P J0751164-253043Â [de],73636985.673,1.3480596277199998e+29,55.0,1658.2229885289191
2MASS J07522390+1612157,143699360.39099994,1.29109936176e+29,60.0,417.03819303058157
DENIS J081730.0-615520,67202685.95399994,8.3541723408e+28,16.1,1233.8319202388227
2MASS J08251968+2115521Â [de],70062374.71799994,9.8731127664e+28,35.0,1341.560382170242
SDSSp J083008.12+482847.4Â [de],70777296.90899992,9.1136425536e+28,43.0,1213.4723373937989
LHS 2021,82216051.96499993,1.67083446816e+29,55.0,1648.7166498646857
SDSS J083048.80+012831.1Â [de],68632530.33599994,8.733907447199999e+28,77.0,1236.7285821412138
2MASSI J0835425-081923Â [de],71492219.1,1.17717882984e+29,23.53,1536.210473927894
2MASSI J0847287-153237Â [de],71492219.1,1.21515234048e+29,43.0,1585.765650506213
2MASS J08533619-0329321,76496674.437,1.46198015964e+29,27.6,1666.4113007819785
2MASSI J0859254-194926Â [de],70062374.71799994,9.49337766e+28,50.0,1289.9619059329252
2MASSI J0937347+293142,67202685.95399994,7.974437234399999e+28,20.0,1177.7486511370575
2MASS 0939âˆ’2448,67917608.14499994,6.0757617024e+28,17.4,878.5405265962414
2MASS J09490860-1545485Â [de],68632530.33599994,9.3035101068e+28,59.0,1317.384794019989
2MASS J10073369-4555147,67202685.95399994,8.3541723408e+28,46.0,1233.8319202388227
2MASSI J1010148-040649Â [de],70062374.71799994,9.6832452132e+28,55.0,1315.7611440515836
2MASS J10224821+5825453Â [de],100804028.93099992,5.1264239364e+28,60.0,336.49961461058786
2MASSW J1036530-344138Â [de],69347452.52699994,9.3035101068e+28,53.0,1290.3622342106723
2MASS J1047538+212423Â [de],67202685.95399994,7.974437234399999e+28,34.4,1177.7486511370575
DEN 1048-3956,76496674.437,1.46198015964e+29,13.15,1666.4113007819785
Luhman 16B,72922063.482,8.1643047876e+28,6.516,1024.064106530048
Luhman 16A,72207141.291,7.594702128e+28,6.516,971.5748765477731
DENIS-P J1058.7âˆ’1548,71492219.1,1.21515234048e+29,49.0,1585.765650506213
TWA 28,170866403.649,6.8352319152e+28,180.0,156.15853686205512
Cha 110913-773444,128685994.37999994,1.5189404256e+28,163.0,61.17923034360395
SDSS J111010.01+011613.1,88650351.684,1.7088079788e+28,63.0,145.03010835226078
2MASS J11145133âˆ’2618235,68632530.33599994,6.265629255599999e+28,18.2,887.218330666523
TWA 26,157282882.01999998,5.696026596e+28,137.0,153.58009270140238
2MASS J11544223-3400390Â [de],107238328.65,7.0250994684e+28,129.0,407.45367408840207
2MASSW J1155395-372735Â [de],71492219.1,1.21515234048e+29,31.0,1585.765650506213
2MASS J12074836-3900043,122251694.661,3.2277484044000003e+28,217.0,144.05081936859645
2MASSI J1217110-031113Â [de],67202685.95399994,7.974437234399999e+28,36.0,1177.7486511370575
2M 1237+6526,67202685.95399994,7.784569681199999e+28,45.6,1149.7070165861753
TWA 29,142984438.2,4.74668883e+28,262.0,154.85992680724738
SDSSp J125453.90-012247.4Â [de],70062374.71799994,8.9237750004e+28,38.0,1212.5641915769495
Kelu-1A,70062374.71799994,1.19616558516e+29,61.0,1625.3520014754856
Kelu-1B,70062374.71799994,1.10123180856e+29,61.0,1496.355810882193
2MASS J13204427+0409045,72207141.291,1.27211260644e+29,101.0,1627.3879182175199
SDSSp J132629.82-003831.5Â [de],69347452.52699994,9.6832452132e+28,65.0,1343.0300805049853
SDSSp J134646.45-003150.4Â [de],67202685.95399994,8.3541723408e+28,48.0,1233.8319202388227
2MASS J13595510-4034582,71492219.1,1.19616558516e+29,51.0,1560.9880622170535
ULAS J141623.94+134836.3,68632530.33599994,6.0757617024e+28,29.7,860.3329267069314
SDSS J141659.78+500626.4Â [de],70777296.90899992,1.12021856388e+29,149.0,1491.5597480465447
DENIS-P J142527.97-365023.4Â [de],94369729.212,3.987218617199999e+28,38.0,298.6279580305045
LHS 2924,75781752.246,1.44299340432e+29,38.5,1675.9493680812814
2MASS J14392837+1929150,73636985.673,1.36704638304e+29,47.0,1681.5782418884814
LSPM J1440+1339,85075740.72899993,1.7467814894399998e+29,72.0,1609.729625452076
2MASS J14482563+1031590Â [de],70777296.90899992,1.12021856388e+29,47.0,1491.5597480465447
CFBDSIR 1458+10A,107238328.65,2.10752984052e+28,104.0,122.23610222652063
CFBDSIR 1458+10B,92939884.82999994,1.7088079788e+28,104.0,131.95165361090918
TVLM 513-46546,75066830.055,1.4240066489999998e+29,35.1,1685.550223752352
2MASS 1503+2525,67202685.95399994,8.3541723408e+28,20.7,1233.8319202388227
CFBDS J150411+102717,67202685.95399994,8.3541723408e+28,71.0,1233.8319202388227
2MASSW J1506544+132106Â [de],72922063.482,1.3100861170799998e+29,46.0,1643.2656593156585
2MASS 1507âˆ’1627,70777296.90899992,1.1392053192e+29,23.9,1516.8404217422485
TVLM 868-110639,77211596.628,1.49995367028e+29,53.0,1678.1802767863567
2MASSW J1515008+484742Â [de],70777296.90899992,1.08224505324e+29,34.0,1440.9984006551363
2MASSI J1526140+204341Â [de],70062374.71799994,1.02528478728e+29,67.0,1393.1588584075591
DENIS-P J153941.96-052042.4Â [de],71492219.1,1.19616558516e+29,51.0,1560.9880622170535
2MASS J15462718-3325111Â [de],67202685.95399994,8.3541723408e+28,37.0,1233.8319202388227
2MASSW J1552591+294849Â [de],102233873.31299992,5.696026596e+28,68.0,363.5031779914853
2MASSW J1555157-095605Â [de],73636985.673,1.3480596277199998e+29,44.0,1658.2229885289191
2MASS J16150413+1340079Â [de],67202685.95399994,7.974437234399999e+28,48.0,1177.7486511370575
SDSSp J162414.37+002915.6Â [de],67202685.95399994,8.1643047876e+28,36.0,1205.7902856879402
2MASS J16262034+3925190Â [de],73636985.673,1.3480596277199998e+29,110.0,1658.2229885289191
2MASSW J1632291+190441Â [de],69347452.52699994,9.3035101068e+28,50.0,1290.3622342106723
WISEPA J164715.59+563208.2,67202685.95399994,7.784569681199999e+28,28.0,1149.7070165861753
LSPM J1658+7027Â [de],74351907.864,1.3860331383599998e+29,60.0,1672.3039433327008
2MASSI J1726000+153819,100089106.73999992,4.5568212768e+28,114.0,303.39904027542383
SDSSp J175032.96+175903.9,69347452.52699994,8.9237750004e+28,90.0,1237.6943879163591
2MASS J18283572-4849046,67917608.14499994,8.544039894e+28,39.0,1235.4476155259645
LSR J1835+3259,76496674.437,1.46198015964e+29,18.5,1666.4113007819785
2MASSW J1841086+311727,72207141.291,1.27211260644e+29,138.0,1627.3879182175199
2MASS J18432213+4040209,87220507.302,1.82272851072e+29,46.0,1598.1244798167959
2MASS J20004841-7523070,134405371.90799993,4.74668883e+28,105.0,175.2602159430144
SDSS J204749.61-071818.3,68632530.33599994,8.733907447199999e+28,65.0,1236.7285821412138
2MASSI J2057540-025230,72922063.482,1.3290728724e+29,47.0,1667.0811036535667
2MASSI J2104149-103736,72922063.482,1.3100861170799998e+29,62.0,1643.2656593156585
PSO J318.5âˆ’22,109383095.223,1.2341390958e+28,80.0,68.80017253173449
HB 2124-4228,86505585.11099993,1.78475500008e+29,113.0,1590.80206214125
2MASS J21392676+0220226,68632530.33599994,8.733907447199999e+28,32.1,1236.7285821412138
2MASS J21481628+4003593,70777296.90899992,1.0442715426e+29,26.3,1390.4370532637279
2MASSW J2206450-421721,95084651.403,4.1770861704e+28,93.0,308.16153675250763
2MASSW J2208136+292121,100804028.93099992,5.1264239364e+28,154.0,336.49961461058786
2MASSW J2224438-015852,70777296.90899992,1.1581920745199998e+29,38.0,1542.1210954379526
2MASS J22282889-4310262,67202685.95399994,7.974437234399999e+28,35.0,1177.7486511370575
2MASS J22373255+3922398,74351907.864,1.3860331383599998e+29,64.0,1672.3039433327008
2MASSW J2244316+204343,92224962.63899992,2.2784106384e+28,56.0,178.67379332366767
2MASS J23224684-3133231,99374184.54899992,4.5568212768e+28,56.0,307.7801971636203
2MASS J23225299-6151275,113672628.369,3.2277484044000003e+28,148.0,166.61484945837302
2MASS J23515044-2537367,82930974.15599993,1.67083446816e+29,67.0,1620.4130272339826
2MASSI J2356547-155310,77926518.81899999,1.5189404256e+29,74.0,1668.3840275505147
WISE 0410+1502,83645896.34699993,1.1392053192e+28,20.0,108.60218404190057
WISE 0458+6434A,300267320.22,2.848013298e+28,35.9,21.069377796904398
WISE 0458+6434B,271670432.5799999,1.898675532e+28,35.9,17.15899466008282
WISE 1405+5534,61483308.426,5.696026596e+28,25.3,1005.0400874456292
Sun,695700000.0,1.989e+30,0.000015813,274.10478078144416
Sirius,1189647000.0,4.1769000000000005e+30,0008.6,196.85374632913812
Canopus,49394700000.0,2.9835e+31,0310,0.8156262074432974
Alpha Centauri,834840000.0,2.1879e+30,0004.4,209.38559643026986
Arcturus,18088200000.0,2.1879e+30,0037,0.44602848943726114
Vega,1878390000.0,4.3758e+30,0025,82.72023562677326
Capella,8348400000.0,5.1714e+30,0043,4.9491140974427426
Rigel,54890730000.00001,4.574699999999999e+31,0860,1.0127224556237002
Procyon,1321830000.0,2.9835000000000004e+30,0011.4,113.89395323328705
Betelgeuse,660915000000.0,3.978e+31,0640[1],0.006074344172441975
Achernar,6470010000.000001,1.3326300000000001e+31,0144,21.233692117420226
Hadar,5983020000.0,2.0884500000000003e+31,0390,38.914280667998426
Altair,1252260000.0,3.5802e+30,0017,152.280433767469
Acrux,6191730000.0,3.5802e+31,0320,62.288676354828866
Aldebaran,30610800000.0,2.9835000000000004e+30,0065,0.2123745718864495
Antares,473076000000.0,2.3868e+31,0600,0.007113445868030558
Spica,5196879000.0,2.273427e+31,0260,56.14636402516638
Pollux,6122160000.000001,3.7791e+30,0034,6.725194776404233
Fomalhaut,1252260000.0,3.7791e+30,0025,160.7404578656617
Deneb,141227100000.0,3.7791e+31,"2,600",0.12637993726728236
Mimosa,5843880000.0,3.1824e+31,0350,62.15527908876285
Regulus,2156670000.0,7.558199999999999e+30,0077,108.38690603220478
Adhara,9739800000.0,2.48625e+31,0430,17.481172243714553
Shaula,6122160000.000001,2.8840500000000003e+31,0700,51.32385487255862
Castor,1669680000.0,5.569200000000001e+30,0052,133.24537954653536
Gacrux,58438800000.0,2.9835000000000004e+30,0088,0.05827057414571517
Bellatrix,4035060000.0,1.7105399999999998e+31,0240,70.07434942688525
Elnath,2921940000.0,9.945000000000001e+30,0130,77.69409886095356
Miaplacidus,4730760000.0,6.9615e+30,0110,20.747550448422462
Alnilam,29219400000.0,6.3648e+31,"2,000",4.972422327101028
Gamma Velorum,4174200000.0,1.7900999999999998e+31,"01,100",68.52619519536104
Alnair,2365380000.0,7.956e+30,0101,94.84594490707411
Alioth,2921940000.0,5.768100000000001e+30,0081,45.06257733935306
Alnitak,13914000000.0,6.5637e+31,01050,22.613644414469146
Dubhe,20871000000.0,8.453249999999999e+30,0120,1.2943836870234862
Mirfak,47307600000.0,1.69065e+31,0590,0.5038690823188311
Wezen,139140000000.0,3.3813e+31,"1,600",0.11649453183211377
Sargas,18088200000.0,1.13373e+31,0270,2.311238536174899
Kaus Australis,4730760000.0,6.9615e+30,0140,20.747550448422462
Avior,90441000000.0,1.7900999999999998e+31,0630,0.1459729601794673
Alkaid,2365380000.0,1.2132899999999998e+31,0104,144.640065983288
Menkalinan,1927089000.0,4.75371e+30,081,85.37976854483333
Atria,64004400000.0,1.3923e+31,0390,0.22669346236650628
Alhena,2295810000.0,5.569200000000001e+30,0109,70.4768949667625
Peacock,3339360000.0,1.17351e+31,0180,70.19176243969274
Alsephina[2],2017530000.0,4.7736e+30,0080,78.22252959280215
Mirzam,6957000000.0,2.68515e+31,0500,37.00414540549497
Polaris,27132300000.0,1.07406e+31,0430,0.9731530678631156
Alphard,34785000000.0,5.967e+30,0180,0.328925736937733
Mintaka,11479050000.0,4.7736e+31,01200,24.163506845747143
Scheat,66091500000.0,4.1769000000000005e+30,0196,0.06378061381064075
Almaaz,97398000000.0,2.9835e+31,0653,0.20977406692457462
Rasalgethi,194796000000.0,5.569200000000001e+30,0360,0.009789456456480147
Tau Ceti,621260100.0,1.557387e+30,011.9,269.1382688446168
Delta Pavonis,848754000.0,1.971099e+30,019.92,182.50325030530178
Ran,514818000.0,1.6309799999999997e+30,010.48,410.45639196636995
V382 Carinae,337414500000.0,3.978e+31,"08,900",0.02330575243119942
Delta Cephei,30958650000.0,8.950499999999999e+30,0887,0.6228867635482888
Mu Cephei,676220400000.0,3.81888e+31,"06,000",0.005570386237493149
Titawin,1029636000.0,2.5260300000000002e+30,044.25,158.9267127430762
P Cygni,52873200000.0,5.967e+31,"05,545",1.4236744154160883
VV Cephei,544733100000.0,3.6199800000000003e+31,"04,900",0.008137002964043204
61 Cygni,462640500.0,1.3923000000000002e+30,011.41,433.8817266029983
R Doradus,207318600000.0,1.6906499999999995e+30,0178,0.0026236325352937654
Polaris Australis,2601918000.0,3.1625100000000005e+30,0281,31.15806867815038
R Coronae Borealis,59134500000.0,1.6906499999999995e+30,"04,566",0.0322476212684052
54 Piscium,653958000.0,1.5116400000000002e+30,036.1,235.76237369159978
Mira,257409000000.0,2.3868e+30,0300,0.0024026715627299706
Lacaille 8760,354807000.0,1.1934e+30,012.87,632.306299380494
II Pegasi,2365380000.0,1.5912e+30,0130,18.96918898141482
Pistol Star,222624000000.0,1.9889999999999997e+32,"025,000",0.26768044998187907
S Doradus,264366000000.0,4.7736e+31,"0169,000",0.045557581293314824
Barnard's Star,139140000.0,2.7846000000000004e+29,05.98,959.3667327350546
Proxima Centauri,104355000.0,2.3868000000000002e+29,04.25,1461.892164167702
KIC 8462852,1099206000.0,2.8442700000000003e+30,"01,470",157.01403481712273
R136a1,22262400000.0,5.7681e+32,"0163,000",77.62733049474492
Melnick 42,14679270000.000002,3.75921e+32,"0163,000",116.36262340848796
WR 102,271323000.0,3.7791e+31,"018,134",34240.5709062948
VFTS 352,10066779000.0,1.1432771999999998e+32,"0164,000",75.24823324055542
YBP 1194,688743000.0,2.0088900000000002e+30,"02,772",282.46692030329416
Gliese 1214,146097000.0,3.1824e+29,047.5,994.4844654202057
NML Cygni,1534018500000.0,9.945e+31,"05,251",0.002818833518764755
VB 10,69570000.0,1.49175e+29,018.72,2055.7858558608314
TRAPPIST-1,83484000.0,1.7702099999999997e+29,039.6,1694.1198256630921
2MASS J0523-1403,59830199.99999999,1.3923000000000002e+29,040.3,2594.2853778665626
